time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,7.85058527187e-08,-1.05234865768e-07,10.0067592299,6.28293671311,6.28307690255,0.0,8.82651119121e-06,-1.65012993957e-05,0.225289624333,-0.0140829696593,-0.00569037056083,0.0,475.2551201383558,474.8188895584175,475.4902852235801,474.41044860506383
0.12000000000000001,3.89465429434e-06,-8.72074638825e-06,10.0219692652,6.28231705597,6.28278046661,0.0,0.000148812762839,-0.00033979779349,0.281698802215,-0.00371307932595,-0.00348164377481,0.0,422.96626365960833,423.1564955829759,422.3062662971188,423.1997498319392
0.18,2.36180624308e-05,-4.97500194992e-05,10.0453243542,6.28288353716,6.28231064334,0.0,0.000546800401501,-0.00099761222134,0.496734951721,0.027586823299,-0.0183770215112,0.0,472.80825436523526,471.65956534608983,470.76272391957644,473.1780102097254
0.23999999999999996,8.26244201662e-05,-0.000109172705167,10.0816807651,0.00161629863474,6.28090139573,0.0,0.00156682637875,-0.000768179021959,0.71503385133,0.0395380481622,-0.0364197047786,0.0,474.19249742056553,472.80459872433164,472.51611026761964,473.4367058546571
0.3,0.000238623266478,-0.000107892853637,10.1299447967,0.00404620574553,6.27852355481,0.0,0.00389102320064,0.00108352524966,0.893642885313,0.0423527396177,-0.0469801564154,0.0,461.9570471230827,461.1229258951193,461.7807593720069,462.00349038552474
0.36000000000000004,0.000571456561193,4.4033433025e-05,10.1851512785,0.00656680006107,6.27607851173,0.0,0.00745117004036,0.00422099948828,0.94652799924,0.0413154679734,-0.0305456851747,0.0,421.97968838720925,423.39477862797133,422.392854754168,422.30445766137075
0.4200000000000001,0.00116172084576,0.00043289454711,10.243505575,0.00953801512393,6.27412031633,0.0,0.0124035158969,0.00900280743601,0.998567495891,0.0622669920367,-0.0371848182655,0.0,422.58332722221866,422.0102371899103,421.4854176710946,423.29365237202126
0.48000000000000015,0.0021133855007,0.00119701933101,10.3076498225,0.01286363782,6.27191240487,0.0,0.0195572185836,0.0168543795036,1.13943734443,0.0360075479306,-0.0360370940215,0.0,449.8140583177191,449.9063751036962,452.6327557308667,450.5166587713087
0.5400000000000001,0.00356642899482,0.00252618464094,10.3822995526,0.015299638381,6.26956413042,0.0,0.0291404316602,0.0277212067687,1.34865661741,0.0484853009344,-0.046198211115,0.0,473.02482703712434,472.24108910533477,470.10242719774476,471.0689311544635
0.6000000000000002,0.00565204888617,0.00456936136479,10.4695342346,0.0183766792306,6.267777625,0.0,0.0406322996456,0.0407351485225,1.55889349853,0.0563624735232,-0.00867020814147,0.0,470.40269383638974,473.29906285034275,472.65727510283153,473.2654036302445
0.6600000000000003,0.0084792306511,0.00749086993297,10.5705142448,0.0220030283415,6.2673178664,0.0,0.0536620811001,0.0570769163256,1.80673871045,0.0675468321029,-0.00571998652423,0.0,483.5770092980586,483.7992913967484,483.72854112114385,484.57219982567665
0.7200000000000003,0.0121050500002,0.0114954249166,10.6867375475,0.0262113335031,6.26673681056,0.0,0.0672477609926,0.0769179963142,2.06692416935,0.0748718934415,-0.0191061348585,0.0,488.3033603002586,487.3039446927579,488.35354379997574,488.9028316360099
0.7800000000000004,0.0165012771485,0.0166978366137,10.8148115599,0.0306102041747,6.26604340033,0.0,0.0793840705506,0.0969654325205,2.20194290856,0.0700041012273,0.000377940234345,0.0,451.70056690604963,453.2691217024134,451.8824737923264,451.4940037249595
0.8400000000000004,0.0216777292238,0.0232731013194,10.9533816475,0.0350839640581,6.26603776525,0.0,0.0931557296083,0.12271377852,2.41661276912,0.0823955659255,-0.00105483248623,0.0,476.440475930642,476.3309267547939,476.2249887492845,477.1757245693222
0.9000000000000005,0.027617319329,0.0313704009502,11.1011184525,0.0397881279454,6.26571603831,0.0,0.104844556616,0.147676059045,2.50773089334,0.0689061012476,-0.0157852812713,0.0,440.33114856747727,439.1109822988446,440.65394136640407,439.54236274717647
0.9600000000000005,0.0342731976244,0.0410702446816,11.2546130228,0.0438002783491,6.26479214393,0.0,0.117109401197,0.176058674821,2.60850772849,0.0624501545574,-0.0146352126385,0.0,443.5894771465449,443.68400612703897,443.480736816742,442.9534923867878
1.0200000000000005,0.0417206730087,0.0526435997411,11.4161296836,0.0481899810731,6.26367823815,0.0,0.131242047402,0.210163092436,2.77496415197,0.0887926343436,-0.027887800965,0.0,464.2821971544351,463.2413267300089,463.4846760184492,465.5540739329246
1.0800000000000005,0.0500529284991,0.0663890558964,11.5880445537,0.0537631822864,6.26182677903,0.0,0.146690499037,0.24861727303,2.95504171534,0.100019065119,-0.0375788166524,0.0,469.35246090032126,468.59945342225984,468.76410102700083,469.64239652159483
1.1400000000000006,0.0592992715943,0.0824272034376,11.7681066338,0.0594428840566,6.25972940435,0.0,0.161734424367,0.286564669746,3.04674149977,0.0809150535215,-0.0301696532187,0.0,442.7026332396275,443.31132700961496,443.8955566666029,442.33255391039665
1.2000000000000006,0.0695389031397,0.100978557891,11.9557300017,0.0643335577334,6.25777240091,0.0,0.179784320902,0.332325874275,3.20688668091,0.0826769665362,-0.0380239174285,0.0,465.6044406094864,464.9891843759369,464.0993401130837,464.2426772495267
1.2600000000000007,0.080935775277,0.122458001932,12.1540478596,0.0699028337784,6.25543954222,0.0,0.200364731337,0.384234102694,3.40308354229,0.107826898846,-0.0406522304927,0.0,476.44825789818736,476.2466269459328,475.57630300370784,477.5051854950962
